Unnamed: 0,building_id,meter,timestamp,meter_reading,site_id,air_temperature,cloud_coverage,dew_temperature,precip_depth_1_hr,sea_level_pressure,wind_direction,wind_speed,primary_use,square_feet,year_built,floor_count
15139312,1034,0,2016-10-03 22:00:00,8.1325,12,14.3,6.0,9.9,,1026.0,140.0,8.0,Retail,3907,,1.0
8699343,1080,2,2016-06-10 10:00:00,906.25,13,20.6,2.0,17.8,0.0,1007.0,140.0,4.6,Education,207115,,
5614298,1398,0,2016-04-16 10:00:00,10.75,15,3.3,0.0,-3.9,,1031.0,80.0,2.1,Lodging/residential,20291,1925.0,
19366198,959,1,2016-12-18 13:00:00,199.335,9,-3.3,,-11.7,0.0,1030.0,350.0,5.1,Education,128536,,
966087,606,0,2016-01-18 22:00:00,54.3725,4,16.7,,11.1,0.0,1020.5,260.0,1.5,Utility,23432,1999.0,2.0
11723885,858,0,2016-08-03 16:00:00,2.1667,8,30.6,,22.8,0.0,1018.0,150.0,3.1,Other,1566,,1.0
4720067,560,0,2016-03-31 12:00:00,1098.99,3,13.3,6.0,9.4,0.0,1016.5,180.0,6.2,Office,340000,2010.0,
15070248,702,0,2016-10-02 17:00:00,15.2,5,14.0,0.0,6.0,,,100.0,2.6,Education,24251,1966.0,2.0
16871775,918,2,2016-11-03 17:00:00,30.5,9,26.1,,21.1,-1.0,1022.0,110.0,3.6,Education,60621,,
13225774,1068,0,2016-08-30 23:00:00,65.5975,12,16.8,8.0,12.5,,1016.5,190.0,6.0,Education,112956,,
18490014,207,1,2016-12-02 16:00:00,118.764,2,8.9,,-1.1,0.0,1012.5,100.0,2.1,Public services,99700,,
8658584,513,0,2016-06-09 17:00:00,39.13,3,25.0,4.0,8.3,0.0,1014.0,320.0,3.1,Public services,112283,,
1357,160,0,2016-01-01 01:00:00,4.98,2,13.9,,-5.6,0.0,1015.5,270.0,4.1,Entertainment/public assembly,15786,,
3159700,287,3,2016-02-29 16:00:00,0.0,2,19.4,,-1.1,0.0,1015.5,120.0,3.1,Office,33713,1956.0,
15315094,91,0,2016-10-07 01:00:00,202.038,0,23.9,,22.8,13.0,1007.0,10.0,6.7,Education,68094,2003.0,
9330240,1244,0,2016-06-21 19:00:00,173.64,14,32.2,2.0,15.0,0.0,1007.5,320.0,4.6,Public services,95526,,
10738331,875,1,2016-07-17 00:00:00,590.69,9,35.6,0.0,18.9,0.0,1012.5,160.0,3.1,Lodging/residential,177708,,
18846182,1300,0,2016-12-09 08:00:00,50.0809,14,-1.1,0.0,-9.4,0.0,1018.5,270.0,4.6,Healthcare,25609,,
5926514,707,0,2016-04-22 00:00:00,24.72,5,11.0,0.0,3.0,,,60.0,8.8,Education,11270,1976.0,1.0
7078241,161,0,2016-05-12 13:00:00,18.13,2,21.1,,2.8,0.0,1012.5,100.0,3.1,Education,11329,,
19693646,1287,0,2016-12-24 08:00:00,91.3922,14,2.8,,-3.3,0.0,1026.0,180.0,2.1,Education,60582,,
6508644,1130,1,2016-05-02 09:00:00,0.0,13,6.1,0.0,2.8,0.0,1020.0,0.0,0.0,Education,280225,,
10289756,1165,0,2016-07-08 23:00:00,11.142,13,25.6,,15.0,0.0,1012.5,320.0,5.1,Office,28991,,
587057,203,0,2016-01-12 01:00:00,307.77,2,13.3,2.0,0.0,0.0,1022.5,230.0,2.6,Lodging/residential,63348,2007.0,
1929842,926,1,2016-02-05 10:00:00,0.2813,9,1.7,0.0,-3.9,0.0,1030.0,0.0,0.0,Education,26033,,
2970384,192,0,2016-02-25 21:00:00,670.53,2,26.1,0.0,-8.9,0.0,1016.0,,2.6,Education,151637,1983.0,
6954891,519,0,2016-05-10 08:00:00,1363.08,3,15.0,,13.3,-1.0,1020.0,20.0,5.1,Public services,461647,1976.0,
2601392,502,0,2016-02-18 10:00:00,70.55,3,1.7,,-4.4,0.0,1029.0,340.0,4.6,Public services,6010,,
8536891,652,0,2016-06-07 13:00:00,223.212,4,15.6,,11.7,0.0,1012.0,270.0,5.7,Education,150887,1959.0,9.0
3817171,216,3,2016-03-13 18:00:00,49.8221,2,18.9,6.0,-1.7,0.0,1018.0,0.0,0.0,Education,137065,1964.0,
14539157,843,0,2016-09-23 07:00:00,8.5,8,24.4,,23.3,0.0,1015.0,0.0,0.0,Entertainment/public assembly,5380,,1.0
17756921,1177,0,2016-11-19 13:00:00,30.976,13,-1.7,,-7.8,0.0,1026.0,320.0,8.8,Office,20444,,
1027719,184,3,2016-01-20 01:00:00,8.7921,2,18.3,,1.1,0.0,1019.0,0.0,0.0,Education,34171,,
7237678,730,0,2016-05-15 09:00:00,19.3,5,12.0,,7.0,,,,1.5,Education,126045,1966.0,4.0
9486681,155,0,2016-06-24 15:00:00,108.5,1,20.6,,11.9,,1017.0,210.0,9.3,Office,51688,1930.0,8.0
6527030,933,2,2016-05-02 17:00:00,0.0,9,14.4,,10.6,0.0,1020.5,350.0,3.6,Office,8525,,
4676252,792,2,2016-03-30 17:00:00,3516.21,7,8.3,,-3.5,,1018.5,190.0,6.2,Education,333681,1938.0,3.0
5521138,169,3,2016-04-14 19:00:00,193.427,2,29.4,,3.9,0.0,1009.0,260.0,3.1,Education,179559,2006.0,
1433766,1169,1,2016-01-27 09:00:00,173.264,13,-8.9,0.0,-11.7,0.0,1022.5,190.0,3.1,Education,155439,,
9196162,1054,0,2016-06-19 10:00:00,306.368,12,17.3,8.0,15.9,,1017.5,160.0,3.0,Education,204998,,4.0
2900856,838,0,2016-02-24 11:00:00,45.8333,8,20.6,,19.4,0.0,1009.5,170.0,6.2,Public services,18414,,1.0
11668587,765,1,2016-08-02 16:00:00,371.611,6,30.0,,21.7,0.0,1017.5,70.0,4.1,Entertainment/public assembly,58562,,
10280391,1175,0,2016-07-08 19:00:00,227.532,13,23.3,,14.4,0.0,1011.5,320.0,7.7,Manufacturing/industrial,81372,,
5285065,191,1,2016-04-10 14:00:00,0.0,2,17.8,,3.9,0.0,1008.5,100.0,2.1,Education,78268,1964.0,
14938566,886,2,2016-09-30 09:00:00,158.6,9,16.1,0.0,10.6,0.0,1022.0,0.0,0.0,Education,69799,,
6628515,1248,1,2016-05-04 12:00:00,534.952,14,10.0,,8.3,0.0,1007.5,90.0,5.7,Office,78002,,
14103779,455,0,2016-09-15 13:00:00,80.45,3,21.7,,13.3,0.0,1023.5,40.0,5.1,Healthcare,29192,2014.0,
16974647,250,3,2016-11-05 13:00:00,0.0,2,16.7,0.0,12.8,0.0,1015.5,110.0,2.1,Education,131710,1991.0,
16564014,919,0,2016-10-29 05:00:00,19.0,9,22.2,0.0,16.1,0.0,1021.0,180.0,2.1,Education,31233,,
12045067,1269,1,2016-08-09 12:00:00,879.218,14,21.1,2.0,18.9,0.0,1022.0,0.0,0.0,Healthcare,56388,,
18970367,915,1,2016-12-11 13:00:00,320.455,9,10.6,9.0,10.6,0.0,1017.0,0.0,0.0,Education,205141,,
7895128,174,1,2016-05-27 03:00:00,195.044,2,27.2,0.0,-2.2,0.0,1008.0,210.0,2.6,Education,90900,,
13290389,124,0,2016-09-01 03:00:00,21.9,1,13.3,,11.1,,1022.5,260.0,2.1,Education,38319,1900.0,6.0
12935942,682,0,2016-08-25 19:00:00,33.2,5,17.0,,17.0,,,300.0,3.6,Entertainment/public assembly,64153,,5.0
7286201,491,0,2016-05-16 06:00:00,46.25,3,8.9,2.0,0.6,0.0,1020.5,200.0,1.5,Education,66600,1970.0,
12780488,1064,0,2016-08-22 21:00:00,182.015,12,16.5,7.0,13.7,,1022.0,110.0,3.0,Education,131212,,
16882522,137,0,2016-11-03 22:00:00,57.5,1,8.3,,5.3,,1017.5,220.0,3.1,Entertainment/public assembly,64024,1967.0,6.0
15197048,133,0,2016-10-04 23:00:00,63.9,1,13.3,0.0,10.4,,1030.0,90.0,5.1,Lodging/residential,64723,1960.0,8.0
268186,770,2,2016-01-06 02:00:00,593.941,6,-4.4,0.0,-17.2,0.0,1037.0,330.0,1.5,Education,80325,,
17655834,1344,0,2016-11-17 17:00:00,344.575,15,7.8,,5.6,,1020.0,290.0,4.1,Education,125507,1974.0,
9546250,816,0,2016-06-25 16:00:00,2.8333,8,31.7,,22.2,0.0,1020.0,,2.6,Entertainment/public assembly,356,,1.0
11556405,200,0,2016-07-31 16:00:00,151.07,2,31.1,,18.9,0.0,1010.5,270.0,5.1,Entertainment/public assembly,143093,1964.0,
20000068,1272,3,2016-12-29 18:00:00,2011.01,14,5.6,,5.0,8.0,1002.0,210.0,2.1,Public services,247471,,
5748412,566,0,2016-04-18 20:00:00,0.523,4,24.4,2.0,6.7,,1017.5,250.0,2.6,Education,2010,1957.0,1.0
19096536,200,0,2016-12-13 19:00:00,172.39,2,20.5,,4.7,,,110.0,3.1,Entertainment/public assembly,143093,1964.0,
7635450,797,0,2016-05-22 11:00:00,2393.77,7,13.3,,8.6,,1012.0,10.0,4.1,Education,764237,1979.0,13.0
10084271,945,1,2016-07-05 07:00:00,1435.96,9,27.2,,23.9,0.0,1013.5,180.0,3.6,Office,332447,,
874625,627,0,2016-01-17 06:00:00,97.75,4,13.3,,12.8,,1021.5,0.0,0.0,Education,56637,1953.0,5.0
11535255,12,0,2016-07-31 07:00:00,180.196,0,24.4,0.0,22.8,0.0,1017.0,180.0,1.5,Lodging/residential,37100,1999.0,
9507184,1251,0,2016-06-24 23:00:00,257.0,14,24.4,2.0,15.6,0.0,1017.0,90.0,5.1,Education,104604,,
415046,435,0,2016-01-08 21:00:00,64.04,3,5.6,8.0,5.0,-1.0,1020.0,50.0,3.1,Office,29916,2002.0,
3271373,1129,1,2016-03-02 21:00:00,11.9952,13,-1.1,4.0,-13.3,0.0,1017.0,140.0,2.6,Office,133100,,
11909511,1392,2,2016-08-07 00:00:00,1195.72,15,23.3,4.0,13.9,,1009.5,360.0,2.1,Entertainment/public assembly,76153,1963.0,
11709181,195,1,2016-08-03 10:00:00,39.6701,2,27.2,,22.8,0.0,1012.0,80.0,3.6,Office,9703,1940.0,
6131671,24,0,2016-04-25 16:00:00,0.0,0,27.2,,16.1,0.0,1018.0,110.0,3.6,Education,105545,2001.0,
13766723,1359,0,2016-09-09 13:00:00,129.2,15,22.2,,20.0,,1014.0,0.0,0.0,Education,124289,1904.0,
12528351,128,0,2016-08-18 09:00:00,92.6,1,19.6,,14.3,,1010.5,330.0,2.1,Lodging/residential,102774,1956.0,7.0
3824555,1001,1,2016-03-13 21:00:00,0.0,10,13.9,0.0,-2.8,0.0,1008.5,200.0,3.1,Other,4482,,1.0
18130119,725,0,2016-11-26 04:00:00,2.2,5,6.0,,4.0,,,60.0,5.7,Education,13789,1919.0,1.0
18847011,330,0,2016-12-09 09:00:00,103.91,3,-0.6,0.0,-9.4,0.0,1024.0,300.0,5.7,Education,65000,,
10409732,1338,2,2016-07-11 03:00:00,60.6908,15,12.2,0.0,11.7,,1018.0,0.0,0.0,Education,31415,1912.0,
7963440,552,0,2016-05-28 08:00:00,52.15,3,22.2,0.0,18.9,0.0,1019.0,190.0,4.6,Public services,20110,1936.0,
1597936,883,1,2016-01-30 09:00:00,415.868,9,11.7,0.0,3.9,0.0,1012.5,200.0,2.6,Education,399331,,
4600658,940,0,2016-03-29 07:00:00,5.28,9,17.2,,11.1,0.0,1015.0,0.0,0.0,Lodging/residential,8079,,
11705605,979,1,2016-08-03 08:00:00,260.739,9,26.7,0.0,22.8,0.0,1016.0,,1.5,Entertainment/public assembly,52357,,
19864617,757,2,2016-12-27 09:00:00,0.4684,6,11.7,0.0,9.4,0.0,1017.5,200.0,6.7,Education,46813,,
2875303,309,0,2016-02-23 23:00:00,5.68,3,6.1,,5.0,3.0,1019.0,10.0,4.6,Entertainment/public assembly,2067,,
17170663,146,0,2016-11-09 01:00:00,16.1,1,4.5,,4.0,,999.0,90.0,4.1,Office,31614,1956.0,8.0
4060645,1270,0,2016-03-18 13:00:00,11.0,14,9.4,0.0,-3.9,0.0,1010.5,290.0,5.1,Entertainment/public assembly,18551,,
12478815,82,1,2016-08-17 12:00:00,379.893,0,25.6,2.0,25.0,0.0,1021.5,80.0,1.5,Office,10743,1974.0,
11073791,1273,3,2016-07-22 23:00:00,562.294,14,31.7,0.0,21.7,0.0,1009.0,230.0,5.1,Office,104089,,
4374219,1267,1,2016-03-24 19:00:00,1539.0,14,12.2,0.0,6.1,0.0,1014.5,90.0,6.2,Education,138977,,
7619534,1060,0,2016-05-22 04:00:00,16.0175,12,7.1,4.0,5.9,,1004.5,250.0,4.0,Entertainment/public assembly,71806,,
3820168,922,1,2016-03-13 19:00:00,285.111,9,27.8,0.0,2.8,0.0,1008.0,280.0,5.1,Education,147205,,
15595102,1004,0,2016-10-11 23:00:00,254.0,10,19.4,0.0,-0.6,0.0,1013.0,340.0,3.6,Education,74886,,2.0
11639153,1190,0,2016-08-02 03:00:00,29.681,13,25.0,4.0,20.6,0.0,1015.5,150.0,3.1,Office,39807,,
5218947,1301,1,2016-04-09 09:00:00,428.092,14,0.0,0.0,-5.6,0.0,1006.5,90.0,1.5,Education,62242,,
5650567,815,0,2016-04-17 02:00:00,0.3333,8,20.0,2.0,14.4,0.0,1021.0,40.0,5.7,Entertainment/public assembly,666,,1.0
4538890,361,0,2016-03-28 02:00:00,12.96,3,10.0,,8.9,-1.0,1020.0,80.0,3.1,Public services,13224,1965.0,
9696363,1251,1,2016-06-28 08:00:00,1767.58,14,21.1,,19.4,0.0,1013.5,160.0,2.6,Education,104604,,
1681813,846,0,2016-01-31 22:00:00,0.5417,8,21.1,,12.8,0.0,1019.0,170.0,2.6,Entertainment/public assembly,481,,1.0
3408954,861,0,2016-03-05 15:00:00,12.5,8,18.3,,10.6,0.0,1021.0,30.0,3.1,Other,4276,,1.0
60648,1259,0,2016-01-02 03:00:00,132.0,14,1.1,0.0,-8.3,0.0,1017.5,270.0,2.1,Education,71088,,
5710351,139,3,2016-04-18 04:00:00,0.0,1,3.0,,1.2,,1020.5,250.0,2.6,Public services,56629,1900.0,6.0
9445439,924,1,2016-06-23 21:00:00,1188.55,9,33.9,4.0,21.7,0.0,1015.0,,2.6,Entertainment/public assembly,252268,,
11367164,395,0,2016-07-28 06:00:00,29.32,3,27.8,4.0,24.4,0.0,1013.0,180.0,3.1,Public services,8925,1912.0,
15311896,1126,0,2016-10-06 23:00:00,197.244,13,15.0,,3.9,-1.0,1014.5,40.0,4.1,Education,72332,,
10347052,205,0,2016-07-10 00:00:00,89.29,2,43.3,2.0,6.1,0.0,1007.5,270.0,5.1,Lodging/residential,60086,2001.0,
8234146,183,1,2016-06-02 04:00:00,104.521,2,34.4,0.0,0.6,0.0,1005.5,250.0,4.6,Education,132518,1992.0,
787164,279,3,2016-01-15 16:00:00,0.0,2,7.2,,1.7,0.0,1014.0,150.0,2.6,Education,49384,1967.0,
11302917,1003,1,2016-07-27 02:00:00,117.194,10,34.4,0.0,-3.3,0.0,1008.5,220.0,2.1,Education,94751,,3.0
10437256,1030,1,2016-07-11 15:00:00,224.932,11,23.3,,15.6,,1018.0,260.0,2.1,Education,68030,,
5389717,1287,2,2016-04-12 10:00:00,430.632,14,15.0,,10.6,0.0,1012.5,210.0,6.2,Education,60582,,
9133228,1129,0,2016-06-18 07:00:00,121.309,13,22.2,,15.6,0.0,1018.5,100.0,2.1,Office,133100,,
10195893,865,0,2016-07-07 07:00:00,24.1667,8,27.2,4.0,23.9,0.0,1019.0,180.0,2.1,Public services,10174,,1.0
1725514,846,0,2016-02-01 17:00:00,0.5,8,25.6,4.0,15.6,0.0,1018.0,230.0,3.6,Entertainment/public assembly,481,,1.0
13676302,931,0,2016-09-07 23:00:00,218.0,9,33.3,4.0,23.3,0.0,1015.5,170.0,2.6,Education,216050,,
3902271,1026,0,2016-03-15 10:00:00,158.5,10,0.0,,-3.3,0.0,1021.0,0.0,0.0,Lodging/residential,88480,,1.0
1796058,286,1,2016-02-03 00:00:00,58.9424,2,12.8,0.0,-13.9,0.0,1018.0,280.0,6.7,Lodging/residential,32841,1935.0,
8501196,214,0,2016-06-06 22:00:00,126.73,2,42.2,2.0,-2.8,0.0,1001.0,,2.1,Education,91273,1951.0,
18665624,709,0,2016-12-06 03:00:00,5.8,5,6.0,,6.0,,,60.0,3.6,Education,23067,1976.0,2.0
18084116,1328,1,2016-11-25 08:00:00,17.7187,15,2.2,,1.7,,1023.5,120.0,1.5,Education,279840,2008.0,
9682691,1433,2,2016-06-28 02:00:00,1289.68,15,23.3,4.0,18.9,,1014.0,150.0,4.1,Education,28084,1913.0,
1582927,1297,1,2016-01-30 02:00:00,233.24,14,0.6,4.0,-8.3,0.0,1008.5,310.0,4.6,Office,21469,,
10633704,1018,1,2016-07-15 03:00:00,0.0,10,28.3,0.0,-1.7,0.0,1012.0,0.0,0.0,Education,186840,,2.0
12512075,239,1,2016-08-18 02:00:00,566.143,2,40.6,4.0,7.2,0.0,1004.5,130.0,2.1,Lodging/residential,106440,1963.0,
13515606,193,0,2016-09-05 03:00:00,4.12,2,35.0,0.0,1.7,0.0,1001.5,270.0,4.6,Office,6203,1999.0,
12647170,1297,2,2016-08-20 12:00:00,220.959,14,23.9,0.0,20.6,0.0,1013.0,0.0,0.0,Office,21469,,
10290257,1371,0,2016-07-08 23:00:00,36.65,15,25.0,4.0,22.2,,1008.0,,,Public services,50577,1956.0,
16649361,1120,0,2016-10-30 17:00:00,62.36,13,6.7,,1.7,0.0,1026.0,60.0,2.1,Services,70040,,
15481370,851,0,2016-10-09 23:00:00,122.417,8,25.6,0.0,16.1,0.0,1017.0,20.0,4.6,Public services,16682,,1.0
3351728,209,0,2016-03-04 12:00:00,961.7,2,17.8,6.0,-2.8,0.0,1012.5,110.0,2.6,Education,193294,2006.0,
6703683,1398,1,2016-05-05 20:00:00,0.0,15,12.8,,6.7,,1007.0,350.0,2.6,Lodging/residential,20291,1925.0,
9374345,34,0,2016-06-22 15:00:00,267.837,0,30.0,2.0,17.8,0.0,1020.5,10.0,3.1,Lodging/residential,42731,2002.0,
4595495,213,0,2016-03-29 05:00:00,179.14,2,22.2,,1.1,0.0,1004.0,210.0,2.6,Education,49662,1964.0,
19500914,1346,2,2016-12-20 22:00:00,0.0,15,-2.0,0.0,-9.0,,,190.0,6.7,Education,34875,1993.0,
1572244,379,0,2016-01-29 22:00:00,8.3,3,2.8,,-8.3,0.0,1010.0,310.0,8.8,Entertainment/public assembly,7675,,
12144143,1168,0,2016-08-11 08:00:00,3844.93,13,21.1,,19.4,38.0,1010.5,150.0,4.6,Office,577101,,
16115892,918,2,2016-10-21 05:00:00,54.9,9,19.4,0.0,8.3,0.0,1023.5,10.0,3.1,Education,60621,,
543160,1437,2,2016-01-11 05:00:00,2180.52,15,-3.3,,-11.1,,1004.5,270.0,12.4,Education,111518,1968.0,
1579317,533,0,2016-01-30 01:00:00,58.5,3,1.1,0.0,-8.3,0.0,1013.5,300.0,5.7,Lodging/residential,11900,,
17514388,755,0,2016-11-15 05:00:00,14.9167,6,7.8,,6.1,-1.0,1015.0,,1.5,Office,42129,,
12085207,1073,2,2016-08-10 06:00:00,2126.5,13,26.7,0.0,21.1,0.0,1013.0,210.0,2.6,Office,194111,,
2819155,235,1,2016-02-22 20:00:00,46.2114,2,25.0,2.0,-2.8,0.0,1009.5,230.0,3.6,Education,9309,1970.0,
18700135,61,0,2016-12-06 19:00:00,243.674,0,23.9,,21.7,191.0,1011.0,250.0,7.2,Lodging/residential,38686,2001.0,
16333100,1239,2,2016-10-25 01:00:00,131.9,14,11.1,0.0,-0.6,0.0,1019.0,20.0,2.1,Office,31300,,
